,GAMMA,x_vals,llh,delta_llh
0,0.0,[-7.49220555e-07 -5.65820768e-02  3.20079242e+00],-293621.3411516223,3.0512455850839615e-06
1,0.026755852842809364,[ 2.89123910e-06 -5.65804954e-02  3.20079242e+00],-293621.34115004126,4.632282070815563e-06
2,0.05351170568561873,[-5.08616110e-07 -5.64814929e-02  3.20091332e+00],-293621.34114893165,5.741894710808992e-06
3,0.0802675585284281,[ 2.26950919e-06 -5.64783273e-02  3.20091332e+00],-293621.3411469963,7.67724122852087e-06
4,0.10702341137123746,[-5.67111823e-07 -5.64203341e-02  3.20094113e+00],-293621.3411449649,9.70863038673997e-06
5,0.13377926421404682,[-2.64174117e-06 -5.62802721e-02  3.20109955e+00],-293621.3411432635,1.1410040315240622e-05
6,0.1605351170568562,[ 6.05967751e-07 -5.62802721e-02  3.20110028e+00],-293621.34114069876,1.3974786270409822e-05
7,0.18729096989966554,[ 1.58766252e-06 -5.62313475e-02  3.20125380e+00],-293621.3411381432,1.6530335415154696e-05
8,0.2140468227424749,[ 6.29941827e-07 -5.61636463e-02  3.20126454e+00],-293621.3411349904,1.9683153368532658e-05
9,0.2408026755852843,[-2.40032637e-06 -5.60198909e-02  3.20145277e+00],-293621.3411318862,2.2787367925047874e-05
10,0.26755852842809363,[ 1.45834410e-06 -5.60188893e-02  3.20145277e+00],-293621.34112771135,2.6962195988744497e-05
11,0.294314381270903,[-7.00121083e-07 -5.59197428e-02  3.20152640e+00],-293621.34112328227,3.1391275115311146e-05
12,0.3210702341137124,[-3.37286969e-06 -5.57695540e-02  3.20173909e+00],-293621.34111869923,3.5974313504993916e-05
13,0.34782608695652173,[-3.16627553e-06 -5.57499162e-02  3.20174849e+00],-293621.3411126708,4.200276453047991e-05
14,0.3745819397993311,[-3.83549971e-07 -5.55814107e-02  3.20186120e+00],-293621.34110624815,4.84253978356719e-05
15,0.4013377926421405,[-2.51693701e-06 -5.54957763e-02  3.20211474e+00],-293621.34109962836,5.504518048837781e-05
16,0.4280936454849498,[-1.81035404e-06 -5.53860122e-02  3.20217768e+00],-293621.34109152545,6.314809434115887e-05
17,0.45484949832775917,[-2.31249163e-06 -5.52596629e-02  3.20235882e+00],-293621.34108246735,7.220619590952992e-05
18,0.4816053511705686,[-3.10925005e-06 -5.51372004e-02  3.20244389e+00],-293621.34107198287,8.26906762085855e-05
