,GAMMA,gamma,x_vals,llh,delta_llh
0,0.0,2.5,"[ 1.84780034e-02 -7.89569626e-01  5.52267904e-01  1.49331844e-01
  6.70820392e-01 -1.29967388e+02]",-293612.52187394135,8.818865625944454
1,0.0,2.532,"[ 1.98134598e-02 -7.85695586e-01  5.52268105e-01  1.49331844e-01
  6.70820966e-01 -1.29967396e+02]",-293612.9482521381,8.392487429198809
2,0.0,2.564,"[ 1.72707283e-02 -6.77644037e-01  5.52268042e-01  1.49287038e-01
  6.70843106e-01 -1.29967398e+02]",-293613.6071267112,7.733612856070977
3,0.0,2.596,"[ 1.81619741e-02 -6.75140060e-01  5.52268026e-01  1.49328326e-01
  6.70820391e-01 -1.29967398e+02]",-293614.0591942214,7.281545345904306
4,0.0,2.628,"[ 1.53950332e-02 -5.80872184e-01  5.52268042e-01  1.49331803e-01
  6.70820302e-01 -1.29967398e+02]",-293614.70096052793,6.639779039367568
5,0.0,2.66,"[ 1.45953746e-02 -5.34054441e-01  5.52257782e-01  1.49331837e-01
  6.70810034e-01 -1.29967399e+02]",-293615.2456907689,6.095048798422795
6,0.0,2.692,"[ 1.55681071e-02 -5.31197245e-01  5.52268035e-01  1.49331836e-01
  6.70843312e-01 -1.29967399e+02]",-293615.7008806793,5.639858887996525
7,0.0,2.7239999999999998,"[ 1.28963918e-02 -4.51594192e-01  5.52268050e-01  1.49314490e-01
  6.70820386e-01 -1.29966899e+02]",-293616.32329080184,5.017448765458539
8,0.0,2.756,"[ 1.41196487e-02 -4.47940145e-01  5.52266528e-01  1.49312546e-01
  6.70820393e-01 -1.29966898e+02]",-293616.7584811025,4.582258464826737
9,0.0,2.788,"[ 1.08992330e-02 -3.67408837e-01  5.52268018e-01  1.49307399e-01
  6.70820837e-01 -1.29967229e+02]",-293617.3694925955,3.971246971806977
10,0.0,2.82,"[ 9.78276505e-03 -3.30482241e-01  5.52261509e-01  1.49323411e-01
  6.70820388e-01 -1.29967243e+02]",-293617.8720131498,3.468726417515427
11,0.0,2.852,"[ 1.06279737e-02 -3.28420833e-01  5.52202424e-01  1.49280333e-01
  6.70820392e-01 -1.29967243e+02]",-293618.29816559004,3.0425739772617817
12,0.0,2.884,"[ 8.02561219e-03 -2.65843472e-01  5.52268015e-01  1.49331838e-01
  6.70820303e-01 -1.29967421e+02]",-293618.8196851076,2.5210544596775435
13,0.0,2.916,"[ 6.95788791e-03 -2.35693036e-01  5.52268043e-01  1.49231585e-01
  6.70820280e-01 -1.29967397e+02]",-293619.2560971492,2.084642418078147
14,0.0,2.948,"[ 8.10131448e-03 -2.33047529e-01  5.52268230e-01  1.49328059e-01
  6.70820392e-01 -1.29967404e+02]",-293619.61366898473,1.7270705825649202
15,0.0,2.98,"[ 5.21037497e-03 -1.80602170e-01  5.52268043e-01  1.49329965e-01
  6.70846727e-01 -1.29967405e+02]",-293620.0352059705,1.3055335967801511
16,0.0,3.012,"[ 4.24939938e-03 -1.56473669e-01  5.52267512e-01  1.49332016e-01
  6.70820392e-01 -1.29967383e+02]",-293620.3691444349,0.9715951323742047
17,0.0,3.044,"[ 4.92985767e-03 -1.54985910e-01  5.52268047e-01  1.49326226e-01
  6.70821403e-01 -1.29967387e+02]",-293620.62776051287,0.7129790544277057
18,0.0,3.0759999999999996,"[ 2.45637054e-03 -1.14181137e-01  5.52269403e-01  1.49331842e-01
  6.70821553e-01 -1.29966879e+02]",-293620.9028712329,0.4378683344111778
19,0.0,3.1079999999999997,"[ 3.05189537e-03 -1.12855947e-01  5.52268042e-01  1.49294572e-01
  6.70822956e-01 -1.29966882e+02]",-293621.0749555646,0.26578400272410363
20,0.0,3.1399999999999997,"[ 1.19345311e-03 -8.20653257e-02  5.52143071e-01  1.49116182e-01
  6.70820392e-01 -1.29966887e+02]",-293621.23206255777,0.10867700952803716
21,0.0,3.1719999999999997,"[ 1.59960097e-03 -8.07655873e-02  5.52267966e-01  1.49331479e-01
  6.70820386e-01 -1.29966890e+02]",-293621.3018072357,0.038932331604883075
22,0.0,3.2039999999999997,"[ 2.54020867e-05 -5.54973160e-02  5.52268048e-01  1.49304336e-01
  6.70882895e-01 -1.29966890e+02]",-293621.33958859567,0.0011509716277942061
23,0.0,3.2359999999999998,"[ 1.23893389e-04 -5.48848286e-02  5.52231892e-01  1.49331896e-01
  6.70820393e-01 -1.29966890e+02]",-293621.2977560872,0.04298348008887842
24,0.0,3.268,"[-3.34218731e-04 -5.27175573e-02  5.52271821e-01  1.49143335e-01
  6.70820412e-01 -1.29966890e+02]",-293621.19021776144,0.15052180585917085
25,0.0,3.3,"[ 5.08084398e-04 -5.09997845e-02  5.52268042e-01  1.49189264e-01
  6.70823507e-01 -1.29966890e+02]",-293621.02264839306,0.3180911742383614
26,0.0,3.332,"[-1.49758593e-03 -2.91593888e-02  5.52268044e-01  1.49325733e-01
  6.70815908e-01 -1.29966979e+02]",-293620.8374855122,0.5032540551037528
27,0.0,3.364,"[-1.48360259e-03 -2.91505166e-02  5.52266315e-01  1.49327941e-01
  6.70820387e-01 -1.29966979e+02]",-293620.5657692545,0.774970312777441
28,0.0,3.396,"[-1.48368454e-03 -2.91503964e-02  5.52266384e-01  1.49327965e-01
  6.70820466e-01 -1.29966979e+02]",-293620.2401719209,1.1005676463828422
29,0.0,3.428,"[-1.49395228e-03 -2.91518339e-02  5.52268044e-01  1.49328537e-01
  6.70820130e-01 -1.29966979e+02]",-293619.86410407326,1.4766354940366
30,0.0,3.46,"[-1.52563479e-03 -2.91779239e-02  5.52267794e-01  1.49331836e-01
  6.70820457e-01 -1.29966979e+02]",-293619.4397931609,1.9009464064147323
