,bkg_norm,signal_norm,spectral_index,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m3_tau3
0,3.9062499999999997e-07,0.0,3.2,-inf,-2.0,-2.0,0.3333333333333333,0.6666666666666666,0.0,-293620.8895787465,0.0,-8.17092597407396,-8.17092597407396
1,4.899790145933907e-07,4.899790145933909e-07,3.2,-inf,-2.0,-1.898989898989899,0.3333333333333333,0.6666666666666666,0.0,-293620.88957874547,1.0477378964424133e-09,-8.17092597407396,-8.06991587306386
2,7.812499999999999e-07,3.906250000000001e-07,3.2,-inf,-2.0,-1.797979797979798,0.3333333333333333,0.6666666666666666,0.0,-293620.88957874296,3.550667315721512e-09,-8.17092597407396,-7.968905772053758
3,6.484068519951479e-07,2.829530759384576e-08,3.2000000282953076,-inf,-2.0,-1.696969696969697,0.3333333333333333,0.6666666666666666,0.0,-293620.8895787403,6.2282197177410126e-09,-8.17092597407396,-7.867895671043658
4,7.812499999999999e-07,3.906250000000001e-07,3.2,-inf,-2.0,-1.595959595959596,0.3333333333333333,0.6666666666666666,0.0,-293620.88957873645,1.0069925338029861e-08,-8.17092597407396,-7.766885570033557
5,7.6172103877261e-07,4.68740844908859e-08,3.200000046874085,-inf,-2.0,-1.4949494949494948,0.33333335677037557,0.6666666432296244,0.0,-293620.88957872975,1.6763806343078613e-08,-8.17092597407396,-7.665875469023455
6,5.761845384111905e-07,4.50893584748596e-06,3.1999988116631912,-inf,-2.0,-1.393939393939394,0.3333339275017378,0.6666660724982622,0.0,-293620.889578725,2.153683453798294e-08,-8.17092597407396,-7.564865368013355
7,7.574117189619874e-07,8.024363701204505e-06,3.199999009083864,-inf,-2.0,-1.2929292929292928,0.33333634062198797,0.666663659378012,0.0,-293620.88957871555,3.096647560596466e-08,-8.17092597407396,-7.463855267003253
8,1.6329914296826628e-07,1.711926840802642e-05,3.2000047723877656,-inf,-2.0,-1.191919191919192,0.3333333333333333,0.6666666666666666,0.0,-293620.8895787134,3.3120159059762955e-08,-8.17092597407396,-7.362845165993153
9,3.3161331326962926e-07,4.101060213673662e-06,3.200014001450333,-inf,-2.0,-1.0909090909090908,0.3333213757771558,0.666678624222844,0.0,-293620.88957867026,7.62520357966423e-08,-8.17092597407396,-7.261835064983051
10,5.861648123117723e-07,2.0475511533746398e-05,3.2000006204959583,-inf,-2.0,-0.9898989898989898,0.33331404359272365,0.6666859564072763,0.0,-293620.88957864686,9.96515154838562e-08,-8.17092597407396,-7.16082496397295
11,1.9084405818349813e-07,4.173366236610359e-05,3.200023001389081,-inf,-2.0,-0.8888888888888888,0.33334114041244695,0.6666588595875531,0.0,-293620.88957865123,9.528594091534615e-08,-8.17092597407396,-7.05981486296285
12,5.09726508703855e-06,2.9850904729870334e-05,3.200013109191681,-inf,-2.0,-0.7878787878787878,0.33332587060715085,0.666674129392849,0.0,-293620.8895784724,2.74099875241518e-07,-8.17092597407396,-6.958804761952747
