,gamma,PHI,x_vals,llh,delta_llh
0,2.5,-1.0,"[ 2.25750539e-02  0.00000000e+00  5.52266851e-01  1.49331835e-01
  6.70821739e-01 -1.30000236e+02]",-293611.2610702912,8.422971390886232
1,2.5,-0.95,"[ 2.16854543e-02  0.00000000e+00  5.52268011e-01  1.49310282e-01
  6.70820398e-01 -1.30000226e+02]",-293611.720597948,7.96344373410102
2,2.5,-0.9,"[ 2.09136380e-02  0.00000000e+00  5.52259298e-01  1.49320668e-01
  6.70820392e-01 -1.30000222e+02]",-293612.1019810727,7.582060609420296
3,2.5,-0.85,"[ 1.98699919e-02  0.00000000e+00  5.52268011e-01  1.49331833e-01
  6.70820444e-01 -1.30000216e+02]",-293612.37797832204,7.306063360068947
4,2.5,-0.8,"[ 1.88509164e-02  0.00000000e+00  5.52268040e-01  1.49314633e-01
  6.70820401e-01 -1.30000211e+02]",-293612.51451802487,7.1695236572413705
5,2.5,-0.75,"[ 1.77349953e-02  0.00000000e+00  5.52268326e-01  1.49325657e-01
  6.70820393e-01 -1.30000198e+02]",-293612.4721529797,7.21188870241167
6,2.5,-0.7,"[ 1.65007140e-02  0.00000000e+00  5.52268043e-01  1.49330473e-01
  6.70820390e-01 -1.30000184e+02]",-293612.20337933186,7.480662350251805
7,2.5,-0.6499999999999999,"[ 1.51519350e-02  0.00000000e+00  5.52267776e-01  1.49331838e-01
  6.70820251e-01 -1.30000161e+02]",-293611.6520283467,8.032013335381635
8,2.5,-0.6,"[ 1.36280521e-02  0.00000000e+00  5.52267961e-01  1.49331845e-01
  6.70820310e-01 -1.30000135e+02]",-293610.75196057,8.932081112114247
9,2.5,-0.55,"[ 1.20506000e-02  0.00000000e+00  5.52268043e-01  1.49302216e-01
  6.70819379e-01 -1.30000097e+02]",-293609.4254329823,10.25860869983444
10,2.5,-0.5,"[ 1.04053547e-02  0.00000000e+00  5.52268050e-01  1.49303696e-01
  6.70820085e-01 -1.30000060e+02]",-293607.5818542549,12.102187427226454
11,2.5,-0.44999999999999996,"[ 8.65672938e-03  0.00000000e+00  5.52267428e-01  1.49299083e-01
  6.70820399e-01 -1.30000010e+02]",-293605.114804716,14.569236966082826
12,2.5,-0.3999999999999999,"[ 6.50016002e-03  0.00000000e+00  5.52081530e-01  1.49228771e-01
  6.70820392e-01 -1.29999938e+02]",-293601.9002926067,17.783749075431842
13,2.5,-0.35,"[ 4.43139868e-03  0.00000000e+00  5.51871360e-01  1.49262179e-01
  6.70820402e-01 -1.29999903e+02]",-293597.79695477756,21.887086904549506
14,2.5,-0.29999999999999993,"[ 2.06544554e-03  0.00000000e+00  5.47722558e-01  1.49101107e-01
  6.70862408e-01 -1.29999768e+02]",-293592.6507466582,27.033295023895334
15,2.5,-0.25,"[-2.02844485e-04  1.28831798e-05  5.47846912e-01  1.49171525e-01
  6.70820390e-01 -1.29999677e+02]",-293586.25998634263,33.42405533947749
16,2.5,-0.19999999999999996,"[-3.45387534e-03  2.41087075e-05  5.47722499e-01  1.49019129e-01
  6.70820186e-01 -1.29999455e+02]",-293578.4039319615,41.28010972059565
17,2.5,-0.1499999999999999,"[-6.09700977e-03  5.34844449e-05  5.47722557e-01  1.49100192e-01
  6.70759813e-01 -1.29999293e+02]",-293568.82669207023,50.857349611877
18,2.5,-0.09999999999999998,"[-9.39351851e-03  1.10680271e-04  5.47722496e-01  1.49050562e-01
  6.70820388e-01 -1.29999034e+02]",-293557.2386265383,62.44541514379671
19,2.5,-0.04999999999999993,"[-1.27929774e-02  1.89251676e-04  5.47722554e-01  1.49104922e-01
  6.70457118e-01 -1.29998739e+02]",-293543.30391312705,76.38012855505804
20,2.5,0.0,"[-1.65999362e-02  3.41091846e-04  5.47722550e-01  1.49002735e-01
  6.67085143e-01 -1.29998263e+02]",-293526.6729018333,93.01113984879339
21,2.5,0.050000000000000044,"[-2.03346233e-02  4.90595485e-04  5.47722529e-01  1.49161618e-01
  6.67083204e-01 -1.29997852e+02]",-293506.8690088891,112.81503279303433
22,2.5,0.10000000000000009,"[-2.52958058e-02  8.05925087e-04  5.47722711e-01  1.48996643e-01
  6.67086590e-01 -1.29997104e+02]",-293483.40471817896,136.27932350314222
23,2.5,0.15000000000000013,"[-2.99607850e-02  1.16437790e-03  5.47722133e-01  1.48998791e-01
  6.67083196e-01 -1.29996276e+02]",-293455.7003506954,163.98369098670082
24,2.5,0.20000000000000018,"[-3.50610704e-02  1.68494048e-03  5.44894959e-01  1.48996644e-01
  6.66247671e-01 -1.29995135e+02]",-293423.10380117176,196.5802405103459
25,2.5,0.25,"[-4.07739563e-02  2.42007184e-03  5.43140859e-01  1.49062681e-01
  6.63324958e-01 -1.29993487e+02]",-293384.98269560386,234.7013460782473
26,2.5,0.30000000000000004,"[-4.68914813e-02  3.35659761e-03  5.43139031e-01  1.48996642e-01
  6.63324977e-01 -1.29991668e+02]",-293340.4245306382,279.2595110438997
27,2.5,0.3500000000000001,"[-5.31949843e-02  4.49748978e-03  5.43139124e-01  1.48996641e-01
  6.63229803e-01 -1.29989501e+02]",-293288.4442003359,331.2398413462215
28,2.5,0.40000000000000013,"[-6.07655860e-02  6.17802948e-03  5.43136487e-01  1.48996641e-01
  6.63324947e-01 -1.29986452e+02]",-293227.9649310869,391.7191105951788
29,2.5,0.4500000000000002,"[-6.82885098e-02  8.57927814e-03  5.38516481e-01  1.48995590e-01
  6.61767512e-01 -1.29982498e+02]",-293157.80174626585,461.8822954162606
30,2.5,0.5,"[-7.73172537e-02  1.18933498e-02  5.38516477e-01  1.48996654e-01
  6.59576134e-01 -1.29977108e+02]",-293076.6344113757,543.0496303064283
31,2.5,0.55,"[ 1.68211425e-02  8.00000000e+00  5.47722561e-01  1.49332409e-01
  7.51714338e-01 -1.62167427e+02]",-293609.17016366863,10.513878013473004
32,2.5,0.6000000000000001,"[ 1.56918836e-02  8.00000000e+00  5.47723941e-01  1.49331838e-01
  7.54236825e-01 -1.62167488e+02]",-293608.6789640205,11.00507766159717
33,2.5,0.6500000000000001,"[ 1.43175307e-02  8.00000000e+00  5.47722556e-01  1.49331353e-01
  7.54983353e-01 -1.62167538e+02]",-293607.9161292837,11.767912398383487
34,2.5,0.7000000000000002,"[ 1.31458674e-02  8.00000000e+00  5.47722557e-01  1.49331787e-01
  7.58287173e-01 -1.62167629e+02]",-293606.77378745825,12.910254223854281
35,2.5,0.75,"[ 1.16236569e-02  8.00000000e+00  5.47632612e-01  1.49333239e-01
  7.58287540e-01 -1.62167741e+02]",-293605.23120562785,14.452836054260843
36,2.5,0.8,"[ 9.78894778e-03  8.00000000e+00  5.47429857e-01  1.49331842e-01
  7.58436267e-01 -1.62167931e+02]",-293603.1338739632,16.55016771890223
37,2.5,0.8500000000000001,"[ 8.49744441e-03  8.00000000e+00  5.43138733e-01  1.49331844e-01
  7.61577189e-01 -1.62168502e+02]",-293600.60557710635,19.07846457575215
38,2.5,0.9000000000000001,"[ 6.88119220e-03  8.00000000e+00  5.42436924e-01  1.49331845e-01
  7.62982679e-01 -1.62168799e+02]",-293597.3591880513,22.324853630794678
39,2.5,0.9500000000000002,"[ 4.91923394e-03  8.00000000e+00  5.41234307e-01  1.49395170e-01
  7.64852927e-01 -1.62169322e+02]",-293593.45856787224,26.22547380987089
40,2.5,1.0,"[ 3.54747664e-03  8.00000000e+00  5.38516474e-01  1.49666388e-01
  7.68114780e-01 -1.62169871e+02]",-293588.84665988636,30.837381795747206
41,2.5,1.0500000000000003,"[ 1.14605727e-03  8.00000000e+00  5.38204596e-01  1.49666295e-01
  7.68468534e-01 -1.62170703e+02]",-293583.1709733536,36.51306832849514
42,2.5,1.1,"[-4.29723376e-04  8.00000000e+00  5.33853907e-01  1.49666300e-01
  7.71365257e-01 -1.62171690e+02]",-293576.715370437,42.96867124509299
43,2.5,1.15,"[-1.73602210e-03  8.00000000e+00  5.29150262e-01  1.50099373e-01
  7.74625795e-01 -1.62172743e+02]",-293569.13809249713,50.54594918497605
44,2.5,1.2000000000000002,"[-4.31101029e-03  8.00000000e+00  5.29150249e-01  1.50000002e-01
  7.77817410e-01 -1.62174457e+02]",-293560.3588676834,59.32517399871722
45,2.5,1.25,"[-6.45745821e-03  8.00000000e+00  5.24400905e-01  1.50125018e-01
  7.81024959e-01 -1.62176400e+02]",-293550.332425829,69.35161585308379
46,2.5,1.3000000000000003,"[-7.99184964e-03  8.00000000e+00  5.19615242e-01  1.50331610e-01
  7.83042662e-01 -1.62178262e+02]",-293538.91492855106,80.7691131310421
47,2.5,1.35,"[-1.10523274e-02  8.00000000e+00  5.17697082e-01  1.50663000e-01
  7.84219357e-01 -1.62183782e+02]",-293526.0789798128,93.60506186931161
48,2.5,1.4000000000000004,"[-1.29783114e-02  8.00000000e+00  5.14781498e-01  1.50663672e-01
  7.88096338e-01 -1.62186421e+02]",-293511.74792958284,107.93611209926894
49,2.5,1.4500000000000002,"[-1.49470213e-02  8.00000000e+00  5.09901926e-01  1.50996284e-01
  7.90569415e-01 -1.62189746e+02]",-293495.8780579029,123.80598377919523
50,2.5,1.5,"[-1.72623255e-02  8.00000000e+00  5.04975242e-01  1.50996684e-01
  7.93727039e-01 -1.62193985e+02]",-293478.16516968474,141.51887199736666
51,2.5326530612244897,-1.0,"[ 2.99577000e-02  7.99929566e+00  5.52248962e-01  1.48996640e-01
  7.48331477e-01 -1.62193981e+02]",-293598.3734979425,21.310543739586137
52,2.5326530612244897,-0.95,"[ 2.99554179e-02  7.99929564e+00  5.52249289e-01  1.48996753e-01
  7.48331149e-01 -1.62193981e+02]",-293598.5174768126,21.16656486951979
53,2.5326530612244897,-0.9,"[ 2.98405391e-02  7.99929499e+00  5.52268046e-01  1.48999134e-01
  7.48340784e-01 -1.62193977e+02]",-293598.67611723964,21.00792444247054
54,2.5326530612244897,-0.85,"[ 2.97926999e-02  7.99929499e+00  5.52264639e-01  1.48996644e-01
  7.48333644e-01 -1.62193976e+02]",-293598.8496526639,20.834389018185902
55,2.5326530612244897,-0.8,"[ 2.97926985e-02  7.99929499e+00  5.52264640e-01  1.48996644e-01
  7.48333644e-01 -1.62193976e+02]",-293599.03965890873,20.644382773374673
56,2.5326530612244897,-0.75,"[ 2.94919865e-02  7.99929315e+00  5.52268043e-01  1.48997007e-01
  7.48331476e-01 -1.62193966e+02]",-293599.2481440981,20.435897584015038
57,2.5326530612244897,-0.7,"[ 2.94919709e-02  7.99929315e+00  5.52268045e-01  1.48997006e-01
  7.48331474e-01 -1.62193966e+02]",-293599.4753188884,20.208722793729976
58,2.5326530612244897,-0.6499999999999999,"[ 2.94850781e-02  7.99929315e+00  5.52267495e-01  1.48996644e-01
  7.48332038e-01 -1.62193966e+02]",-293599.7228209386,19.961220743483864
59,2.5326530612244897,-0.6,"[ 2.90682603e-02  7.99929079e+00  5.52268050e-01  1.48996693e-01
  7.48333025e-01 -1.62193952e+02]",-293599.992931598,19.691110084124375
60,2.5326530612244897,-0.55,"[ 2.90592165e-02  7.99929079e+00  5.52268015e-01  1.48996622e-01
  7.48331385e-01 -1.62193952e+02]",-293600.28574058466,19.398301097447984
61,2.5326530612244897,-0.5,"[ 2.90575174e-02  7.99929079e+00  5.52268029e-01  1.48996642e-01
  7.48331598e-01 -1.62193952e+02]",-293600.60264613247,19.081395549641456
62,2.5326530612244897,-0.44999999999999996,"[ 2.86593164e-02  7.99929209e+00  5.52268052e-01  1.48996644e-01
  7.48331764e-01 -1.62193933e+02]",-293600.9461654554,18.737876226718072
