,bkg_norm,signal_norm,e_cut,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m3_tau3
0,6.261799204882818e-06,0.0007995487545922388,3.499821362789371,-inf,0.0,0.0,0.3429798847217556,0.6570201152782444,0.0,-303524.8358522523,0.0,-6.17092597407396,-6.17092597407396
1,6.0068491735385954e-06,0.0008185384532101527,3.4997647420885922,-inf,0.0,0.06060606060606061,0.3417262876778887,0.6582737123221112,0.0,-303524.8358520482,2.041342668235302e-07,-6.17092597407396,-6.110319913467899
2,5.030664258429139e-06,0.0009450865230310745,3.4997009319041865,-inf,0.0,0.12121212121212122,0.34223301652639676,0.6577669834736033,0.0,-303524.8358515832,6.690970622003078e-07,-6.17092597407396,-6.049713852861839
3,6.7178730012547455e-06,0.0007826919804021664,3.4997296050671016,-inf,0.0,0.18181818181818182,0.3389413816910365,0.6610586183089635,0.0,-303524.8358513242,9.281211532652378e-07,-6.17092597407396,-5.989107792255778
4,7.2851791458787605e-06,0.001072410704117031,3.499713245148011,-inf,0.0,0.24242424242424243,0.3444543667092146,0.6555456332907854,0.0,-303524.83585037576,1.8765567801892757e-06,-6.17092597407396,-5.9285017316497175
5,8.444547595698674e-06,0.0010139227451855875,3.499644058256694,-inf,0.0,0.30303030303030304,0.3412494782577963,0.6587505217422038,0.0,-303524.8358498236,2.4287146516144276e-06,-6.17092597407396,-5.867895671043657
6,9.732265449084896e-06,0.0011531310455637396,3.499637932669816,-inf,0.0,0.36363636363636365,0.3435146486820648,0.6564853513179351,0.0,-303524.83584871993,3.532390110194683e-06,-6.17092597407396,-5.807289610437596
7,9.708018792722179e-06,0.0011026961372598754,3.499599801185251,-inf,0.0,0.42424242424242425,0.340220497010528,0.659779502989472,0.0,-303524.8358477254,4.526926204562187e-06,-6.17092597407396,-5.746683549831536
8,1.0172319513675727e-05,0.0012487426657540937,3.4995015485956302,-inf,0.0,0.48484848484848486,0.34014870098833816,0.6598512990116618,0.0,-303524.83584616525,6.087066140025854e-06,-6.17092597407396,-5.686077489225475
9,1.1996675148439415e-05,0.0014926511898231752,3.499443761524381,-inf,0.0,0.5454545454545454,0.34350773963022674,0.6564922603697733,0.0,-303524.8358439322,8.320144843310118e-06,-6.17092597407396,-5.625471428619415
10,1.5266047442644484e-05,0.0013700016632483968,3.4994800570173004,-inf,0.0,0.6060606060606061,0.3405049673376449,0.659495032662355,0.0,-303524.8358415706,1.0681746061891317e-05,-6.17092597407396,-5.564865368013354
11,1.5830471782510085e-05,0.0016209955315430236,3.4993700074087055,-inf,0.0,0.6666666666666667,0.34198217702687944,0.6580178229731205,0.0,-303524.8358383104,1.3941898941993713e-05,-6.17092597407396,-5.504259307407294
12,1.7399192796161784e-05,0.0018183806642387372,3.4992762919870857,-inf,0.0,0.7272727272727273,0.3424640577946932,0.6575359422053068,0.0,-303524.83583410643,1.8145889043807983e-05,-6.17092597407396,-5.443653246801233
13,1.9430586614378382e-05,0.001979972073384687,3.4991405255324795,-inf,0.0,0.7878787878787878,0.34087450685703774,0.6591254931429622,0.0,-303524.8358288631,2.3389235138893127e-05,-6.17092597407396,-5.3830471861951725
