,bkg_norm,signal_norm,e_cut,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m1_tau1
0,1.9651244424363867e-06,-0.0010998019398773698,3.4999088526541624,0.0,0.0,-inf,0.31217169906751974,0.6878283009324804,0.0,-212736.95752078688,0.0,-6.17092597407396,-6.17092597407396
1,2.1945308457521177e-06,-0.001012106558897348,3.499899376892034,0.0,0.0707070707070707,-inf,0.31330244356193154,0.6866975564380684,0.0,-212736.95751971,1.0768708307296038e-06,-6.100218903366889,-6.17092597407396
2,2.4206982386996117e-06,-0.0010683988068678962,3.4998862506493684,0.0,0.1414141414141414,-inf,0.3119449870489469,0.6880550129510531,0.0,-212736.95751792035,2.8665235731750727e-06,-6.029511832659818,-6.17092597407396
3,2.7962991916858082e-06,-0.0008896250615961935,3.499871676632043,0.0,0.2121212121212121,-inf,0.3144508631038384,0.6855491368961615,0.0,-212736.95751607537,4.711502697318792e-06,-5.958804761952747,-6.17092597407396
4,3.1248159468051355e-06,-0.0008254242442146529,3.4998528158564914,0.0,0.2828282828282828,-inf,0.3149221525264538,0.6850778474735462,0.0,-212736.95751325416,7.532711606472731e-06,-5.888097691245678,-6.17092597407396
5,3.4000322547323836e-06,-0.0008752731425107308,3.499832803410853,0.0,0.35353535353535354,-inf,0.31343442965873247,0.6865655703412674,0.0,-212736.9575092564,1.1530471965670586e-05,-5.817390620538607,-6.17092597407396
6,4.128757561353851e-06,-0.0007181329655334937,3.499810884678229,0.0,0.4242424242424242,-inf,0.3153046596284725,0.6846953403715275,0.0,-212736.95750428413,1.6502744983881712e-05,-5.746683549831536,-6.17092597407396
7,4.735962477860184e-06,-0.0008379273690544573,3.4997826501850393,0.0,0.4949494949494949,-inf,0.3124106754605799,0.6875893245394202,0.0,-212736.95749706088,2.3725995561107993e-05,-5.675976479124465,-6.17092597407396
8,5.439409739128398e-06,-0.0006714881029344936,3.4997479321554144,0.0,0.5656565656565656,-inf,0.31407605104176917,0.6859239489582308,0.0,-212736.95748781975,3.296713111922145e-05,-5.605269408417394,-6.17092597407396
9,6.3494348172179e-06,-0.0005539068958620811,3.499711321385485,0.0,0.6363636363636364,-inf,0.3148087261583676,0.6851912738416324,0.0,-212736.95747513752,4.5649358071386814e-05,-5.534562337710323,-6.17092597407396
10,7.308126353365152e-06,-0.000661222295128601,3.4996663297685298,0.0,0.7070707070707071,-inf,0.31155736655104493,0.6884426334489551,0.0,-212736.9574576456,6.314128404483199e-05,-5.463855267003252,-6.17092597407396
11,8.528834646252576e-06,-0.0004873114507407569,3.499612937574318,0.0,0.7777777777777778,-inf,0.31271427261245316,0.6872857273875468,0.0,-212736.9574342548,8.653209079056978e-05,-5.393148196296181,-6.17092597407396
12,9.932698239349863e-06,-0.00038523129223780035,3.4995508887281606,0.0,0.8484848484848484,-inf,0.31239199488017494,0.687608005119825,0.0,-212736.95740230332,0.00011848355643451214,-5.322441125589112,-6.17092597407396
13,1.1542284522846443e-05,-0.00011268979260225457,3.499476753034059,0.0,0.9191919191919191,-inf,0.314501952661464,0.685498047338536,0.0,-212736.957358797,0.00016198988305404782,-5.251734054882041,-6.17092597407396
14,1.3445587185679439e-05,8.77202991023112e-05,3.4993903279072325,0.0,0.9898989898989898,-inf,0.3150122306011183,0.6849877693988816,0.0,-212736.957299454,0.0002213328843936324,-5.18102698417497,-6.17092597407396
15,1.5662123132925114e-05,0.00032370369488855967,3.4992894998629103,0.0,1.0606060606060606,-inf,0.31563877810577956,0.6843612218942204,0.0,-212736.95721858527,0.00030220160260796547,-5.110319913467899,-6.17092597407396
16,1.8088320736285608e-05,0.0003678044784253042,3.4991694796401944,0.0,1.1313131313131313,-inf,0.31247310892098573,0.6875268910790143,0.0,-212736.95710901768,0.00041176920058205724,-5.039612842760828,-6.17092597407396
17,2.120119506997178e-05,0.0006240629937561688,3.4990306571884364,0.0,1.202020202020202,-inf,0.312175526855572,0.6878244731444282,0.0,-212736.95695969043,0.0005610964435618371,-4.968905772053757,-6.17092597407396
18,2.5049184503156965e-05,0.0011733691825346574,3.4988693985591666,0.0,1.2727272727272727,-inf,0.3160366391400736,0.6839633608599264,0.0,-212736.95675564595,0.0007651409250684083,-4.898198701346686,-6.17092597407396
19,2.916990030822428e-05,0.0013984705509920915,3.4986760391491094,0.0,1.3434343434343434,-inf,0.3134756382186992,0.6865243617813008,0.0,-212736.95648135446,0.0010394324199296534,-4.827491630639617,-6.17092597407396
20,3.363736247411859e-05,0.0017441860795639628,3.4984545407929266,0.0,1.4141414141414141,-inf,0.3118748003088343,0.6881251996911658,0.0,-212736.95611033047,0.0014104564033914357,-4.756784559932546,-6.17092597407396
21,3.951939809997285e-05,0.0024216114639290173,3.4981987233606615,0.0,1.4848484848484849,-inf,0.3146769315143782,0.685323068485622,0.0,-212736.95560710246,0.001913684420287609,-4.686077489225475,-6.17092597407396
22,4.5348171740837914e-05,0.0030872219515343416,3.497884893027087,0.0,1.5555555555555556,-inf,0.31544201668097865,0.6845579833190214,0.0,-212736.95493265142,0.002588135452242568,-4.615370418518404,-6.17092597407396
23,5.139573073590897e-05,-0.004623392478405868,3.497590374437779,0.0,1.6262626262626263,-inf,0.17640236279028076,0.8235976372097193,0.0,-212736.95414789548,0.00337289139861241,-4.544663347811333,-6.17092597407396
24,5.871242577520784e-05,-0.008536091181264239,3.497222195592977,0.0,1.6969696969696968,-inf,0.09734277386937953,0.9026572261306204,0.0,-212736.95304072966,0.0044800572213716805,-4.4739562771042625,-6.17092597407396
25,6.790944653479412e-05,-0.008060779097654134,3.4967646070688914,0.0,1.7676767676767675,-inf,0.08972334006586039,0.9102766599341398,0.0,-212736.9515780418,0.0059427450760267675,-4.4032492063971915,-6.17092597407396
26,7.922761851737238e-05,-0.004109064901825874,3.496202466621605,0.0,1.8383838383838382,-inf,0.13779674107790726,0.8622032589220928,0.0,-212736.94958704995,0.007933736924314871,-4.332542135690122,-6.17092597407396
27,8.744709437384125e-05,-0.011015575495024929,3.495647190910339,0.0,1.909090909090909,-inf,3.2277196089310335e-08,0.999999967722804,0.0,-212736.94730217117,0.010218615701887757,-4.261835064983051,-6.17092597407396
28,0.00010407657002111372,-0.009689446937300287,3.494998099634167,0.0,1.9797979797979797,-inf,7.935848736529375e-10,0.9999999992064151,0.0,-212736.9441651392,0.013355647679418325,-4.1911279942759805,-6.17092597407396
29,0.00011662550989155891,-0.007984172985773379,3.4941809142748883,0.0,2.0505050505050506,-inf,0.0,1.0,0.0,-212736.94017049315,0.017350293725030497,-4.1204209235689095,-6.17092597407396
30,0.00013265785236181522,-0.006090264698244918,3.493275396516911,0.0,2.121212121212121,-inf,4.657379779103282e-17,1.0,0.0,-212736.93514316445,0.022377622430212796,-4.049713852861839,-6.17092597407396
31,0.00015005744099806285,-0.003913767590004073,3.4922440932998478,0.0,2.191919191919192,-inf,9.276429402184316e-10,0.999999999072357,0.0,-212736.92891741797,0.028603368904441595,-3.9790067821547677,-6.17092597407396
32,0.00016856292992995406,-0.0014272717874207626,3.4910820553529693,0.0,2.2626262626262625,-inf,1.111669632659558e-16,1.0,0.0,-212736.92134394302,0.036176843859720975,-3.9082997114476967,-6.17092597407396
33,0.00018797897175011597,0.0014011106234132768,3.4897801176031726,0.0,2.333333333333333,-inf,0.0,1.0,0.0,-212736.91231878963,0.04520199724356644,-3.8375926407406276,-6.17092597407396
34,0.0002079710001414053,0.004596854058139413,3.488336174724373,0.0,2.404040404040404,-inf,1.3598316779537457e-10,0.9999999998640169,0.0,-212736.90181771966,0.05570306722074747,-3.766885570033555,-6.17092597407396
35,0.00022782397434939307,0.008196885171582537,3.4867410589234535,0.0,2.4747474747474745,-inf,1.909209095868383e-17,1.0,0.0,-212736.88993673315,0.06758405372966081,-3.6961784993264857,-6.17092597407396
