,bkg_norm,signal_norm,e_cut,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m3_tau3
0,4.881445049896062e-06,0.007893106459534914,3.499779691627425,-inf,0.0,0.0,0.3678160886698459,0.6321839113301541,0.0,-212757.86465820155,3.0070572393015027e-05,-6.17092597407396,-6.17092597407396
1,5.294516538822613e-06,0.007791003993586946,3.4997614059954945,-inf,0.0,0.0707070707070707,0.36718793461920324,0.6328120653807967,0.0,-212757.8646531434,3.5128730814903975e-05,-6.17092597407396,-6.100218903366889
2,5.733799191546928e-06,0.007949904696032505,3.499740846557265,-inf,0.0,0.1414141414141414,0.3677298713541755,0.6322701286458245,0.0,-212757.864646731,4.15411195717752e-05,-6.17092597407396,-6.029511832659818
3,6.972701176328964e-06,0.007535563741523951,3.4997209317955935,-inf,0.0,0.2121212121212121,0.3656327027716121,0.6343672972283879,0.0,-212757.86463833204,4.994007758796215e-05,-6.17092597407396,-5.958804761952747
4,6.988679650052357e-06,0.007928243654095543,3.499689204780573,-inf,0.0,0.2828282828282828,0.36716180530180675,0.6328381946981931,0.0,-212757.86462779297,6.047915667295456e-05,-6.17092597407396,-5.888097691245678
5,7.72396705062844e-06,0.0075963982197559425,3.499655323786668,-inf,0.0,0.35353535353535354,0.3653370451878722,0.6346629548121278,0.0,-212757.86461378378,7.448834367096424e-05,-6.17092597407396,-5.817390620538607
6,8.59528202173303e-06,0.0072098707062786885,3.49961357583442,-inf,0.0,0.4242424242424242,0.36319140617857815,0.6368085938214219,0.0,-212757.86459538608,9.288603905588388e-05,-6.17092597407396,-5.746683549831536
7,9.591754884997924e-06,0.007647733420674045,3.4995662340342832,-inf,0.0,0.4949494949494949,0.3647759703260086,0.6352240296739914,0.0,-212757.8645716798,0.00011659233132377267,-6.17092597407396,-5.675976479124465
8,1.088067859654533e-05,0.008615773234608456,3.4995142201935985,-inf,0.0,0.5656565656565656,0.36874285126614836,0.6312571487338516,0.0,-212757.86454093043,0.0001473416923545301,-6.17092597407396,-5.605269408417394
9,1.2308635709673473e-05,0.007167585719610899,3.4994439458145674,-inf,0.0,0.6363636363636364,0.3614777756963135,0.6385222243036863,0.0,-212757.864497375,0.0001908971171360463,-6.17092597407396,-5.534562337710323
10,1.4111770319796846e-05,0.005924147898685189,3.4993667776739077,-inf,0.0,0.7070707070707071,0.3550505763709829,0.6449494236290172,0.0,-212757.86443894656,0.0002493255597073585,-6.17092597407396,-5.463855267003252
