,bkg_norm,signal_norm,spectral_index,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m3_tau3
0,6.8080490040525675e-09,4.416287364969468e-06,3.200007729793032,-inf,-2.0,-2.0,0.33332655116294696,0.666673448837053,0.0,-202852.53211815556,0.0,-8.17092597407396,-8.17092597407396
1,3.809010680928381e-08,9.205271205408118e-06,3.20001257231476,-inf,-2.0,-1.898989898989899,0.3333312095969849,0.6666687904030151,0.0,-202852.53211814442,1.1146767064929008e-08,-8.17092597407396,-8.06991587306386
2,-3.574307850436177e-07,1.4357085923300045e-05,3.200014655200394,-inf,-2.0,-1.797979797979798,0.3333501363711517,0.6666498636288483,0.0,-202852.5321181203,3.527384251356125e-08,-8.17092597407396,-7.968905772053758
3,1.6883716703910472e-07,1.057818000386067e-05,3.2000124766746114,-inf,-2.0,-1.696969696969697,0.33333075974209797,0.666669240257902,0.0,-202852.53211812698,2.8579961508512497e-08,-8.17092597407396,-7.867895671043658
4,-6.25128320537292e-07,1.299410416175476e-05,3.2000209778619495,-inf,-2.0,-1.595959595959596,0.333330941264144,0.6666690587358559,0.0,-202852.5321180591,9.64500941336155e-08,-8.17092597407396,-7.766885570033557
5,-2.069766817577139e-08,1.5899839065798454e-05,3.2000179841184737,-inf,-2.0,-1.4949494949494948,0.33333505762388366,0.6666649423761164,0.0,-202852.5321180899,6.565824151039124e-08,-8.17092597407396,-7.665875469023455
6,-2.868457059937073e-07,1.7699489070224265e-05,3.200026308843742,-inf,-2.0,-1.393939393939394,0.33333098831766345,0.6666690116823365,0.0,-202852.5321180283,1.2727105058729649e-07,-8.17092597407396,-7.564865368013355
7,-6.521628097820446e-08,1.413484160755587e-05,3.200022915369007,-inf,-2.0,-1.2929292929292928,0.3333108696181577,0.6666891303818422,0.0,-202852.53211798484,1.707230694591999e-07,-8.17092597407396,-7.463855267003253
8,-4.396627260795494e-08,3.1446242158884474e-05,3.200032307382958,-inf,-2.0,-1.191919191919192,0.33334485673395947,0.6666551432660405,0.0,-202852.53211790478,2.507877070456743e-07,-8.17092597407396,-7.362845165993153
9,-8.990854851065289e-08,2.343124757241901e-05,3.200040519847364,-inf,-2.0,-1.0909090909090908,0.3332965084322622,0.6667034915677378,0.0,-202852.53211776758,3.87983163818717e-07,-8.17092597407396,-7.261835064983051
10,-1.6898171203870608e-08,8.571973139866392e-05,3.2000496430433274,-inf,-2.0,-0.9898989898989898,0.3334850963628087,0.6665149036371913,0.0,-202852.53211755236,6.032059900462627e-07,-8.17092597407396,-7.16082496397295
11,2.4087391019651377e-07,0.00010493846522959804,3.200063762877221,-inf,-2.0,-0.8888888888888888,0.3335145912882107,0.6664854087117893,0.0,-202852.53211720567,9.498908184468746e-07,-8.17092597407396,-7.05981486296285
12,-8.933612826631759e-08,-0.0001319582699142675,3.200076784220366,-inf,-2.0,-0.7878787878787878,0.3326699826331572,0.6673300173668428,0.0,-202852.53211669892,1.4566467143595219e-06,-8.17092597407396,-6.958804761952747
13,-1.9042726994508684e-07,7.972713531826249e-05,3.200095856501922,-inf,-2.0,-0.6868686868686869,0.33332797797845837,0.6666720220215416,0.0,-202852.5321158788,2.276763552799821e-06,-8.17092597407396,-6.857794660942647
14,-1.2568402938201334e-07,-3.390439179058028e-05,3.200117750356479,-inf,-2.0,-0.5858585858585859,0.3328790181690674,0.6671209818309326,0.0,-202852.53211458758,3.5679840948432684e-06,-8.17092597407396,-6.756784559932546
15,-1.8166828036494115e-07,0.00010902930761926276,3.20014780686929,-inf,-2.0,-0.48484848484848486,0.3332775887744896,0.6667224112255105,0.0,-202852.5321125493,5.606270860880613e-06,-8.17092597407396,-6.655774458922444
16,-2.9015640472973067e-07,0.00011051693852235405,3.2001853372266673,-inf,-2.0,-0.38383838383838387,0.33317214275473234,0.6668278572452678,0.0,-202852.53210932534,8.830218575894833e-06,-8.17092597407396,-6.554764357912344
17,-2.9882414500221295e-07,0.0003524075393695789,3.2002303256438487,-inf,-2.0,-0.2828282828282829,0.3338569909733677,0.6661430090266324,0.0,-202852.53210422228,1.393328420817852e-05,-8.17092597407396,-6.4537542569022435
18,-3.5365115792916783e-07,0.00030568154429955554,3.2002928118715075,-inf,-2.0,-0.18181818181818188,0.33352458682327646,0.6664754131767235,0.0,-202852.53209614346,2.2012100089341402e-05,-8.17092597407396,-6.352744155892141
19,-7.139410197958372e-07,1.558992108775991e-05,3.20036945911771,-inf,-2.0,-0.08080808080808088,0.3323218751788986,0.6676781248211014,0.0,-202852.5320833165,3.4839060390368104e-05,-8.17092597407396,-6.251734054882041
20,-6.148099511040242e-07,0.0002448528344696825,3.200464104184672,-inf,-2.0,0.020202020202020332,0.3328281053300926,0.6671718946699076,0.0,-202852.53206301006,5.514550139196217e-05,-8.17092597407396,-6.150723953871939
21,-8.205930102965593e-07,0.00065854903826265,3.200585641360527,-inf,-2.0,0.1212121212121211,0.333876994975229,0.6661230050247711,0.0,-202852.5320308185,8.733707363717258e-05,-8.17092597407396,-6.049713852861839
22,-1.0031191681715621e-06,0.0005283555709552003,3.200733068306081,-inf,-2.0,0.22222222222222232,0.33300669228648366,0.6669933077135163,0.0,-202852.531979708,0.00013844756176695228,-8.17092597407396,-5.948703751851738
23,-1.2530239280427075e-06,0.0009671674627684035,3.200925734953064,-inf,-2.0,0.3232323232323231,0.33393706198126905,0.666062938018731,0.0,-202852.53189879167,0.00021936389384791255,-8.17092597407396,-5.847693650841636
24,-1.4700631002877798e-06,0.001319637458422392,3.201165530272181,-inf,-2.0,0.4242424242424243,0.33444267508299097,0.665557324917009,0.0,-202852.5317705772,0.0003475783742032945,-8.17092597407396,-5.746683549831536
25,-2.0115077868960624e-06,0.0011425727111920717,3.2014714196021603,-inf,-2.0,0.5252525252525251,0.3329637883799739,0.667036211620026,0.0,-202852.53156730646,0.000550849101273343,-8.17092597407396,-5.645673448821434
26,-2.3963405698096813e-06,0.0018066749744950728,3.2018505420103067,-inf,-2.0,0.6262626262626263,0.33411504911787654,0.6658849508821236,0.0,-202852.5312464526,0.0008717029704712331,-8.17092597407396,-5.544663347811333
27,-2.9903791829534083e-06,0.001948330669458288,3.2023296554682625,-inf,-2.0,0.7272727272727271,0.3332131032585954,0.6667868967414046,0.0,-202852.53073918173,0.0013789738295599818,-8.17092597407396,-5.443653246801233
28,-3.7135150654805498e-06,0.0024465413857026825,3.2029334934827327,-inf,-2.0,0.8282828282828283,0.33315823587674587,0.6668417641232541,0.0,-202852.5299402252,0.0021779303497169167,-8.17092597407396,-5.342643145791131
29,-4.474571567266986e-06,0.0032714294873263505,3.203682696171354,-inf,-2.0,0.9292929292929291,0.33377611421318104,0.666223885786819,0.0,-202852.52868523993,0.003432915633311495,-8.17092597407396,-5.241633044781031
30,-5.526812511570655e-06,0.0202874133810437,3.204593632774502,-inf,-2.0,1.0303030303030303,0.3875852805720452,0.6124147194279547,0.0,-202852.52681241126,0.005305744300130755,-8.17092597407396,-5.1406229437709285
31,-6.609281648927216e-06,0.05721293076857909,3.205651663539488,-inf,-2.0,1.131313131313131,0.5,0.5,0.0,-202852.52414093888,0.0079772166791372,-8.17092597407396,-5.039612842760828
32,-8.027515711356411e-06,0.05844613869238825,3.2070913763527287,-inf,-2.0,1.2323232323232323,0.5,0.5,0.0,-202852.5196604383,0.012457717268262058,-8.17092597407396,-4.938602741750728
33,-9.528823052527045e-06,0.05998290258542445,3.208882329478026,-inf,-2.0,1.3333333333333335,0.5,0.5000000000000001,0.0,-202852.51275951325,0.019358642311999574,-8.17092597407396,-4.837592640740626
34,-1.1206087184352895e-05,0.06189658478037575,3.211104142655313,-inf,-2.0,1.4343434343434343,0.5,0.49999999999999994,0.0,-202852.5022240279,0.029894127656007186,-8.17092597407396,-4.7365825397305255
35,-1.2834210323339292e-05,0.06426991698607568,3.2138549947122694,-inf,-2.0,1.5353535353535355,0.5,0.49999999999999994,0.0,-202852.48631975387,0.04579840169753879,-8.17092597407396,-4.635572438720423
36,-1.4397880320956534e-05,0.06720324024836388,3.217237994194701,-inf,-2.0,1.6363636363636362,0.49999999999999994,0.5000000000000001,0.0,-202852.46265335003,0.06946480553597212,-8.17092597407396,-4.534562337710323
37,-1.5526969199973963e-05,0.07080671949084916,3.221371090231556,-inf,-2.0,1.7373737373737375,0.5,0.49999999999999994,0.0,-202852.42807816417,0.10403999139089137,-8.17092597407396,-4.433552236700223
38,-1.5903889903897154e-05,0.07520995013001078,3.2263839177929166,-inf,-2.0,1.8383838383838382,0.5,0.49999999999999994,0.0,-202852.3787437926,0.15337436296977103,-8.17092597407396,-4.332542135690122
39,-1.51185477716967e-05,0.08054800772868122,3.232401120497052,-inf,-2.0,1.9393939393939394,0.5,0.5,0.0,-202852.31045646634,0.22166168922558427,-8.17092597407396,-4.23153203468002
