,bkg_norm,signal_norm,e_cut,decay_rate1,decay_rate2,decay_rate3,f_e,f_mu,f_tau,llh,delta_llh,m2_tau2,m1_tau1
0,2.0789301408830744e-06,0.00017493236258085348,3.49991099444188,0.0,0.0,-inf,0.3333333333333333,0.6666666666666666,0,-212738.79539908047,5.191657692193985e-06,-6.17092597407396,-6.17092597407396
1,2.1674954387833036e-06,0.00020270411746801733,3.499895052111324,0.0,0.0707070707070707,-inf,0.3333333333333333,0.6666666666666666,0,-212738.79539780843,6.463698809966445e-06,-6.100218903366889,-6.17092597407396
2,2.579137780069295e-06,0.00022187273316324563,3.4998861526300016,0.0,0.1414141414141414,-inf,0.3333333333333333,0.6666666666666666,0,-212738.79539613813,8.133996743708849e-06,-6.029511832659818,-6.17092597407396
3,2.9385885115601544e-06,0.0002480536870334503,3.4998742183545075,0.0,0.2121212121212121,-inf,0.3333333333333333,0.6666666666666666,0,-212738.79539392056,1.0351563105359674e-05,-5.958804761952747,-6.17092597407396
4,3.2435503933753547e-06,0.00028454672234832075,3.499854919703393,0.0,0.2828282828282828,-inf,0.3333333333333333,0.6666666666666666,0,-212738.7953909827,1.32894201669842e-05,-5.888097691245678,-6.17092597407396
5,3.936403389793591e-06,0.00032256264903508797,3.4998356751738626,0.0,0.35353535353535354,-inf,0.3333333333333333,0.6666666666666666,0,-212738.795387048,1.7224112525582314e-05,-5.817390620538607,-6.17092597407396
6,4.196150538911046e-06,0.00037341766577452163,3.4998082345483192,0.0,0.4242424242424242,-inf,0.3333333333333333,0.6666666666666666,0,-212738.7953817863,2.2485823137685657e-05,-5.746683549831536,-6.17092597407396
7,4.775311081344966e-06,0.00042886635469175277,3.4997806896223085,0.0,0.4949494949494949,-inf,0.3333333333333333,0.6666666666666666,0,-212738.79537470054,2.9571587219834328e-05,-5.675976479124465,-6.17092597407396
8,5.558080140209721e-06,0.0004926063111989245,3.499747202887366,0.0,0.5656565656565656,-inf,0.3333333333333333,0.6666666666666666,0,-212738.79536514485,3.912727697752416e-05,-5.605269408417394,-6.17092597407396
9,6.317346007005125e-06,0.0005726118694277349,3.4997050638715215,0.0,0.6363636363636364,-inf,0.3333333333333333,0.6666666666666666,0,-212738.7953522081,5.206401692703366e-05,-5.534562337710323,-6.17092597407396
10,7.468370284666687e-06,0.0006543038796866195,3.4996658256347097,0.0,0.7070707070707071,-inf,0.3333333333333333,0.6666666666666666,0,-212738.79533470055,6.95715716574341e-05,-5.463855267003252,-6.17092597407396
